short.name,regions,gaps,coverage,overlap
MDPD_TK,9,2,78.77%,70
MK1_TK,12,4,83.37%,70
MLL_TK,3,1,66.92%,70
MLP28_TK,3,0,73.47%,70
OC1_TK,37,13,86.77%,70
OC2_TK,32,10,83.22%,70
OC3_TK,19,5,86.78%,70
OC4_TK,19,4,89.39%,70
OC5_TK,28,10,87.99%,70
OC6_TK,27,11,85.02%,70
PCK_TK,4,1,68.85%,70
PEC2_TK,8,3,77.19%,70
PIRL_TK,9,3,75.39%,70
PK1_TK,4,1,50.27%,70
PMEI_TK,10,4,75.97%,70
PMIP1B_TK,6,1,79.32%,70
PP2A-3_TK,15,6,81.39%,70
PPMK1_TK,10,0,84.4%,70
PPMK2_TK,12,2,84.12%,70
PPO_TK,8,2,75.5%,70
PTRP1_TK,4,1,59.62%,70
PUCP7_TK,7,0,85.4%,70
RBP45A_TK,13,3,81.65%,70
REF_TK,6,1,73.54%,70
SAS1_TK,4,1,56.39%,70
SOC1_TK,17,7,87.96%,70
SQE1_TK,14,3,81.17%,70
SQE2_TK,13,5,89.38%,70
SQE3_TK,13,4,87.83%,70
SQE4_TK,12,5,74.97%,70
SQS1_TK,16,3,88.1%,70
SQS2_TK,14,2,88.8%,70
SRPP3_TK,5,1,73.15%,70
SRPP4_TK,10,4,84.08%,70
SRPP5_TK,3,0,65.88%,70
SRPP6_TK,4,1,61.05%,70
SRRP1_TK,2,0,65.22%,70
SRRP2_TK,6,2,77.49%,70
STKWNK_TK,2,0,41.74%,70
SYP124_TK,4,0,62.41%,70
TCTP1_TK,2,0,43.38%,70
TCTP2_TK,3,1,58.99%,70
TLP_TK,3,1,60.08%,70
UCE9_TK,3,1,62.55%,70
VPE_TK,19,7,82.77%,70
cluster_4H3M2EDPR_TK,11,4,73.82%,70
cluster_CPT_TK,4,1,57.98%,70
cluster_GGDPS_TK,6,2,81.14%,70
e4H3M2EDPS1_TK,16,7,80.63%,70
